id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,city_code,region_code,center_type,op_area,category,cuisine
1214400,1,27,1885,136.83,134.83,0,1,2052,713,85,TYPE_A,4.5,Beverages,Thai
1188933,1,27,1993,136.83,135.83,0,1,2011,713,85,TYPE_A,4.5,Beverages,Thai
1399644,1,27,2539,132.89,132.89,0,0,258,713,85,TYPE_A,4.5,Beverages,Thai
1376610,1,27,2139,341.5,436.53,0,0,108,713,85,TYPE_A,4.5,Beverages,Indian
1155124,1,27,2631,253.23,252.23,0,0,40,713,85,TYPE_A,4.5,Beverages,Indian
1298391,1,27,1248,252.23,252.23,0,0,80,713,85,TYPE_A,4.5,Beverages,Indian
1292742,1,27,1778,183.39,183.39,0,0,661,713,85,TYPE_A,4.5,Beverages,Italian
1035678,1,27,1062,182.36,183.36,0,0,431,713,85,TYPE_A,4.5,Beverages,Italian
1251089,1,27,2707,195.03,194.03,0,0,1228,713,85,TYPE_A,4.5,Beverages,Italian
1430254,1,27,1207,329.86,386.06,0,0,865,713,85,TYPE_A,4.5,Beverages,Continental
1119037,1,27,1230,324.04,386.06,0,0,312,713,85,TYPE_A,4.5,Beverages,Continental
1027055,1,27,2322,324.95,388.0,0,1,756,713,85,TYPE_A,4.5,Beverages,Continental
1042985,1,27,2290,295.85,297.85,0,0,609,713,85,TYPE_A,4.5,Rice Bowl,Indian
1020494,1,27,1727,426.86,424.86,0,0,445,713,85,TYPE_A,4.5,Rice Bowl,Indian
1236511,1,27,1109,241.53,283.27,1,0,1513,713,85,TYPE_A,4.5,Rice Bowl,Indian
1189535,1,27,2577,282.33,281.33,0,0,162,713,85,TYPE_A,4.5,Starters,Thai
1047750,1,27,2640,282.33,281.33,0,0,176,713,85,TYPE_A,4.5,Starters,Thai
1453089,1,27,1878,281.33,280.33,0,0,55,713,85,TYPE_A,4.5,Starters,Thai
1268840,1,27,2306,242.5,340.53,0,1,95,713,85,TYPE_A,4.5,Pasta,Italian
1256460,1,27,1216,454.93,454.93,0,0,14,713,85,TYPE_A,4.5,Pasta,Italian
1295462,1,27,2126,487.0,513.13,0,1,69,713,85,TYPE_A,4.5,Pasta,Italian
1168172,1,27,2826,283.24,317.19,0,0,325,713,85,TYPE_A,4.5,Sandwich,Italian
1126496,1,27,1754,277.48,277.48,0,0,661,713,85,TYPE_A,4.5,Sandwich,Italian
1151625,1,27,1971,259.99,290.09,1,0,312,713,85,TYPE_A,4.5,Sandwich,Italian
1121362,1,27,1902,389.03,446.23,0,0,69,713,85,TYPE_A,4.5,Biryani,Indian
1160812,1,27,1247,389.03,445.23,0,0,26,713,85,TYPE_A,4.5,Biryani,Indian
1094913,1,27,1770,340.53,484.03,0,0,68,713,85,TYPE_A,4.5,Biryani,Indian
1268403,1,27,1198,192.09,193.09,0,0,134,713,85,TYPE_A,4.5,Extras,Thai
1172124,1,27,1311,161.05,184.36,0,0,405,713,85,TYPE_A,4.5,Extras,Thai
1448125,1,27,1803,146.5,183.36,0,0,296,713,85,TYPE_A,4.5,Extras,Thai
1087466,1,27,1438,244.5,272.63,0,0,163,713,85,TYPE_A,4.5,Soup,Thai
1145432,1,27,2494,243.5,270.63,0,0,215,713,85,TYPE_A,4.5,Soup,Thai
1160568,1,27,1847,243.5,270.63,0,0,122,713,85,TYPE_A,4.5,Soup,Thai
1442848,1,27,1558,583.03,612.13,1,0,148,713,85,TYPE_A,4.5,Pizza,Continental
1008843,1,27,2581,584.91,610.13,1,1,553,713,85,TYPE_A,4.5,Pizza,Continental
1389447,1,27,1962,587.85,610.13,1,0,635,713,85,TYPE_A,4.5,Pizza,Continental
